"Сокращенное наименование"
"Санкт-Петербург"
"СПБ"
"спб"
"санкт-петербург"
"питер"
"Питербург"
"Питер"
"питербург"
"Москва"
"москва"
"мск"
"МСК"
"Петербург"
"петербург "
